,stolbec
0,"['В', 'полулегком', 'подпитьи', 'являясь', ',', 'я', 'ей', 'всякие', 'розы', 'дарил', '.']"
1,"['Ни', 'разу', 'не', 'заглянула', 'ни', 'в', 'одну', 'мою', 'тетрадь', '.']"
2,"['Я', 'человек', 'того', 'покроя', '—', 'я', 'твой', 'навеки', 'арестант', 'и', 'все', 'такое', ',', 'все', 'такое', '.']"
3,"['Так', 'он', 'сказал', ',', 'и', 'вот', 'я', 'здесь', ',', 'ребята', ',', 'в', 'дурацком', 'парке', 'радуюсь', 'цветам', 'и', 'девушкам', ',', 'а', 'им', 'того', 'и', 'надо', ',', 'что', 'я', 'не', 'там', '.']"
4,"А значит, недаром в приисковом посёлке любили меня."
5,"['Как', 'одному', ':', '«', 'другу', '»', ',', 'а', 'двум', 'другим', 'он', '«', 'Сапожок', '»', 'подписывал', ':', '«', 'дорогим', '»', '.']"
6,"['Господа', ',', 'что', 'скажете', 'на', 'это', '?']"
7,"['За', 'тридцать', ',', 'ну', 'и', 'что', '.']"
8,"времена большие, крепких."
9,"['Ещё', 'один', 'подкинь', 'кусочек', 'льда', 'в', 'холодный', 'стих', '.']"
10,"Там тельник такую себе я купил, оборзел, прокурил самокрутками персты."
11,"['Гремели', '«', 'КамАЗы', '»', 'и', '«', 'ЗИЛы', '»', '.']"
12,"['В', 'России', 'расстаются', 'навсегда', '.']"
13,"['О', 'муза', 'бестолковая', 'моя', '!']"
14,"['Слышу', 'рев', 'милицейской', 'сирены', ',', 'нарезая', 'по', 'пустырям', '.']"
15,"['Мне', 'не', 'хватает', 'нежности', 'в', 'стихах', ',', 'а', 'я', 'хочу', ',', 'чтоб', 'получалась', 'нежность', '—', 'как', 'неизбежность', 'или', 'как', 'небрежность', '.']"
16,"['И', 'за', 'это', ',', 'за', 'это', ',', 'за', 'это', ',', 'за', 'это', 'эта', 'Н.', 'целовала', 'меня', '.']"
17,"['Я', 'затем', 'вас', 'так', 'крепко', 'любил', 'и', 'любил', ',', 'чтобы', 'заново', 'ожили', 'вы', '.']"
18,"['Ты', 'всхлипываешь', ',', 'я', 'рифмую', '«', 'всхлип', '»', '.']"
19,"['И', 'остается', ',', 'остается', 'мне', 'ждать', ',', 'дыханье', 'затая', ':', 'вот', 'он', 'допьет', 'и', 'улыбнется.И', 'повторится', 'жизнь', 'моя', '.']"
20,"['Так', 'я', 'понял', ':', 'ты', 'дочь', 'моя', ',', 'а', 'не', 'мать', ',', 'только', 'надо', 'крепче', 'тебя', 'обнять', 'и', 'взглянуть', 'через', 'голову', 'за', 'окно', ',', 'где', 'сто', 'лет', 'назад', ',', 'где', 'давным-давно', 'сопляком', 'шмонался', 'я', 'по', 'двору', 'и', 'тайком', 'прикуривал', 'на', 'ветру', ',', 'окружен', 'шпаной', ',', 'но', 'всегда', 'один', '—', 'твой', 'единственный', ',', 'твой', 'любимый', 'сын', '.']"
21,"['Померкли', 'очи', 'голубые', ',', 'Погасли', 'чёрные', 'глаза', '—', 'Стареют', 'школьницы', 'былые', ',', 'Беседки', ',', 'парки', ',', 'небеса', '.']"
22,"['А', 'ну', 'назад', ',', 'где', 'облака', 'летели', ',', 'где', ',', 'полыхая', ',', 'клёны', 'облетели', ',', 'туда', ',', 'где', 'до', 'твоей', 'кончины', ',', 'Эля', ',', 'ещё', 'неделя', '.']"
23,"Достаю из кишеня упаковку дурмана, из стакана пью угар за романа, за своего дружбана, за лимона-жигана пью настойку из сна и тумана."
24,"['Грустно', 'и', 'больно', ':', 'занят', ',', 'целую', 'вас', '!']"
25,"['Помнишь', ',', 'под', 'озябшими', 'кустами', 'мы', 'с', 'тобою', 'простояли', 'час', ',', 'и', 'трамваи', 'сонными', 'глазами', 'нехотя', 'оглядывали', 'нас', '?']"
26,"['Я', 'зеркало', 'протру', 'рукой', 'и', 'за', 'спиной', 'увижу', 'осень', '.']"
27,"['И', 'бесконечность', 'прошлого', ',', 'высвеченного', 'тускло', ',', 'очень', 'мешает', 'грядущему', 'обрести', 'размах', '.']"
28,"['Отмотай-ка', 'жизнь', 'мою', 'назад', 'и', 'ещё', 'назад', ':', 'вот', 'иду', 'я', 'пьяный', 'через', 'сад', ',', 'осень', ',', 'листопад.Вот', 'иду', 'я', ':', 'девушка', 'с', 'веслом', 'слева', ',', 'а', 'с', 'ядром', '—', 'справа', ',', 'время', 'встало', 'и', 'стоит', ',', 'а', 'листва', 'летит.Все', 'аттракционы', 'на', 'замке', ',', 'никого', 'вокруг', ',', 'только', 'слышен', 'где-то', 'вдалеке', 'репродуктор-друг.Что', 'поёт', 'он', ',', 'чёрт', 'его', 'поймёт', ',', 'что', 'и', 'пел', 'всегда', ':', 'что', 'любовь', 'пройдёт', ',', 'и', 'жизнь', 'пройдёт', ',', 'пролетят', 'года.Я', 'сюда', 'глубоким', 'стариком', 'некогда', 'вернусь', ',', 'погляжу', 'на', 'небо', ',', 'а', 'потом', 'по', 'листве', 'пройдусь.Что', 'любовь', 'пройдёт', ',', 'и', 'жизнь', 'пройдёт', ',', 'вяло', 'подпою', ',', 'ни', 'о', 'ком', 'не', 'вспомню', ',', 'старый', 'чёрт', ',', 'бездны', 'на', 'краю', '.']"
29,"['Любимые', ',', 'вы', 'только', 'посмотрите', 'на', 'наши', 'лица', '!']"
30,"['Так', 'не', 'вышло', 'из', 'меня', 'поэта', ',', 'и', 'уже', 'не', 'выйдет', 'никогда', '.']"
31,Потом лежачего бьют.
32,"['Живу', 'во', 'сне', ',', 'а', 'наяву', 'сижу-дремлю', '.']"
33,"['Звезда', '.']"
34,"Да пойти и пойти по дороге своего тёмно-синего под звёздами серебряными, по России, документ о прописке сжимая в горсти."
35,"Все, и помнить не обещай, сниться не позабудь.Не печалься и не грусти."
36,"['Слишком', 'много', 'всего', 'не', 'вмещается', '.']"
